Model,Baseline Energy Consumption,MSE,MAE,RMSE,R²
Linear Regression (Pre-Upgrade),7.054141200153504,4.020917743148949,1.0827099982856803,2.003842484689758,0.8826729527765632
Polynomial Regression (Pre-Upgrade),7.054141200153498,3.5343724397857827,1.1752736849030156,1.879363317147386,0.8963331785685584
Decision Tree (Pre-Upgrade),7.054141200153504,3.539471097794187,0.942771938855673,1.8262609997360344,0.9036120996995244
Random Forest (Pre-Upgrade),7.052357129550353,1.9813108441389893,0.7390365991815184,1.3487458573996318,0.9472236575078934
Support Vector Regressor (Pre-Upgrade),7.0072154410952745,4.107762002262839,0.9893687920545347,2.025486006755716,0.880102166190764
Linear Regression (Post-Upgrade),7.4545071715663465,3.758360115957358,1.0408085939089138,1.9385774726162932,0.880317740966537
Polynomial Regression (Post-Upgrade),7.45450717156635,3.3347624126633635,1.08231774826262,1.826090615688263,0.8938001776196863
Decision Tree (Post-Upgrade),7.4545071715663465,2.7786667887682954,0.8332044740479345,1.6504792733754337,0.9119465447580548
Random Forest (Post-Upgrade),7.453200133687323,1.5022285776088842,0.662607115089419,1.2131552610218141,0.9524291697660334
Support Vector Regressor (Post-Upgrade),7.382332762723559,3.8519853955484686,0.9510657656177088,1.962557047232896,0.8773295530396625
Linear Regression (All Data),7.19624558191349,3.9066689723217776,1.0627951134708198,1.9755115552227238,0.8841614501719535
Polynomial Regression (All Data),7.1962455819135105,3.410067101324816,1.0929175614248892,1.846257862920945,0.8986331364035625
Decision Tree (All Data),7.19624558191349,2.321349773480614,0.7785545656976434,1.4961744975997622,0.9317392897892758
Random Forest (All Data),7.1942459117024224,1.4139801908795433,0.6263073475829323,1.155605648891178,0.9586712529914528
Support Vector Regressor (All Data),7.1290298671077466,4.007955105408735,0.9720419592261911,2.001023266201234,0.881136151367739
ARIMA (Pre-Upgrade),3.6477301875608803,56.106070540599895,5.058769020402151,7.490398556859301,-0.8137161486182705
ARIMA (Post-Upgrade),6.826083057661544,67.0168624278173,5.871588901210091,8.186382743789672,-1.0424573933939665
ARIMA (All Data),6.72671090196158,87.47221022417607,7.515931484616487,9.352657922974414,-1.823101019525399
LSTM (Pre-Upgrade),7.017726421356201,1.065338134765625,0.6267026662826538,1.0321521759033203,0.9656360745429993
LSTM (Post-Upgrade),6.966466903686523,1.652368187904358,0.7414633631706238,1.285444736480713,0.9496864676475525
LSTM (All Data),7.043679714202881,1.0262231826782227,0.6378665566444397,1.0130267143249512,0.9668276309967041
